id,name,wiki_url,drugbank_url
DB00090,Laronidase,http://www.wikidata.org/entity/Q20801774,https://go.drugbank.com/drugs/DB00090
DB00091,Cyclosporine,http://www.wikidata.org/entity/Q367700,https://go.drugbank.com/drugs/DB00091
DB00092,Alefacept,,https://go.drugbank.com/drugs/DB00092
DB00093,Felypressin,,https://go.drugbank.com/drugs/DB00093
DB00094,Urofollitropin,,https://go.drugbank.com/drugs/DB00094
DB00095,Efalizumab,,https://go.drugbank.com/drugs/DB00095
DB00097,"Choriogonadotropin alfa",,https://go.drugbank.com/drugs/DB00097
DB00098,"Antithymocyte immunoglobulin (rabbit)",,https://go.drugbank.com/drugs/DB00098
DB00099,Filgrastim,http://www.wikidata.org/entity/Q3151081,https://go.drugbank.com/drugs/DB00099
DB00100,"Coagulation Factor IX (Recombinant)",,https://go.drugbank.com/drugs/DB00100
DB00102,Becaplermin,http://www.wikidata.org/entity/Q2313188,https://go.drugbank.com/drugs/DB00102
DB00103,"Agalsidase beta",http://www.wikidata.org/entity/Q20801779,https://go.drugbank.com/drugs/DB00103
DB00104,Octreotide,http://www.wikidata.org/entity/Q419935,https://go.drugbank.com/drugs/DB00104
DB00105,"Interferon alfa-2b",,https://go.drugbank.com/drugs/DB00105
DB00106,Abarelix,,https://go.drugbank.com/drugs/DB00106
DB00107,Oxytocin,,https://go.drugbank.com/drugs/DB00107
DB00108,Natalizumab,http://www.wikidata.org/entity/Q386119,https://go.drugbank.com/drugs/DB00108
DB00109,Enfuvirtide,http://www.wikidata.org/entity/Q423327,https://go.drugbank.com/drugs/DB00109
DB00110,Palivizumab,http://www.wikidata.org/entity/Q412765,https://go.drugbank.com/drugs/DB00110
DB00111,Daclizumab,http://www.wikidata.org/entity/Q412920,https://go.drugbank.com/drugs/DB00111
DB00112,Bevacizumab,http://www.wikidata.org/entity/Q413299,https://go.drugbank.com/drugs/DB00112
DB00113,"Technetium Tc-99m arcitumomab",,https://go.drugbank.com/drugs/DB00113
DB00114,"Pyridoxal phosphate",,https://go.drugbank.com/drugs/DB00114
DB00115,Cyanocobalamin,http://www.wikidata.org/entity/Q252251,https://go.drugbank.com/drugs/DB00115
DB00116,"Tetrahydrofolic acid",,https://go.drugbank.com/drugs/DB00116
DB00117,Histidine,,https://go.drugbank.com/drugs/DB00117
DB00118,Ademetionine,,https://go.drugbank.com/drugs/DB00118
DB00119,"Pyruvic acid",,https://go.drugbank.com/drugs/DB00119
DB00120,Phenylalanine,,https://go.drugbank.com/drugs/DB00120
DB00121,Biotin,,https://go.drugbank.com/drugs/DB00121
DB00122,Choline,,https://go.drugbank.com/drugs/DB00122
DB00123,L-Lysine,,https://go.drugbank.com/drugs/DB00123
DB00125,Arginine,,https://go.drugbank.com/drugs/DB00125
DB00126,"Ascorbic acid",,https://go.drugbank.com/drugs/DB00126
DB00127,Spermine,,https://go.drugbank.com/drugs/DB00127
DB00128,"Aspartic acid",,https://go.drugbank.com/drugs/DB00128
DB00129,Ornithine,,https://go.drugbank.com/drugs/DB00129
DB00130,L-Glutamine,http://www.wikidata.org/entity/Q181619,https://go.drugbank.com/drugs/DB00130
DB00131,"Adenosine phosphate",,https://go.drugbank.com/drugs/DB00131
DB00132,"alpha-Linolenic acid",,https://go.drugbank.com/drugs/DB00132
DB00133,Serine,,https://go.drugbank.com/drugs/DB00133
DB00134,Methionine,,https://go.drugbank.com/drugs/DB00134
DB00135,Tyrosine,,https://go.drugbank.com/drugs/DB00135
DB00136,Calcitriol,http://www.wikidata.org/entity/Q139195,https://go.drugbank.com/drugs/DB00136
DB00137,Lutein,,https://go.drugbank.com/drugs/DB00137
DB00138,Cystine,,https://go.drugbank.com/drugs/DB00138
DB00139,"Succinic acid",,https://go.drugbank.com/drugs/DB00139
DB00140,Riboflavin,,https://go.drugbank.com/drugs/DB00140
DB00141,N-Acetylglucosamine,,https://go.drugbank.com/drugs/DB00141
DB00142,"Glutamic acid",,https://go.drugbank.com/drugs/DB00142
DB00143,Glutathione,,https://go.drugbank.com/drugs/DB00143
DB00144,"Phosphatidyl serine",,https://go.drugbank.com/drugs/DB00144
DB00145,Glycine,,https://go.drugbank.com/drugs/DB00145
DB00146,Calcifediol,,https://go.drugbank.com/drugs/DB00146
DB00147,Pyridoxal,,https://go.drugbank.com/drugs/DB00147
DB00148,Creatine,,https://go.drugbank.com/drugs/DB00148
DB00149,Leucine,,https://go.drugbank.com/drugs/DB00149
DB00150,Tryptophan,,https://go.drugbank.com/drugs/DB00150
DB00151,Cysteine,,https://go.drugbank.com/drugs/DB00151
DB00152,Thiamine,,https://go.drugbank.com/drugs/DB00152
DB00153,Ergocalciferol,http://www.wikidata.org/entity/Q139200,https://go.drugbank.com/drugs/DB00153
DB00154,"Dihomo-gamma-linolenic acid",,https://go.drugbank.com/drugs/DB00154
DB00155,Citrulline,,https://go.drugbank.com/drugs/DB00155
DB00156,Threonine,,https://go.drugbank.com/drugs/DB00156
DB00157,NADH,,https://go.drugbank.com/drugs/DB00157
DB00158,"Folic acid",,https://go.drugbank.com/drugs/DB00158
DB00159,Icosapent,,https://go.drugbank.com/drugs/DB00159
DB00160,Alanine,,https://go.drugbank.com/drugs/DB00160
DB00161,Valine,,https://go.drugbank.com/drugs/DB00161
DB00162,"Vitamin A",,https://go.drugbank.com/drugs/DB00162
DB00163,"Vitamin E",,https://go.drugbank.com/drugs/DB00163
DB00165,Pyridoxine,,https://go.drugbank.com/drugs/DB00165
DB00166,"Lipoic acid",,https://go.drugbank.com/drugs/DB00166
DB00167,Isoleucine,,https://go.drugbank.com/drugs/DB00167
DB00168,Aspartame,,https://go.drugbank.com/drugs/DB00168
DB00169,Cholecalciferol,,https://go.drugbank.com/drugs/DB00169
DB00170,Menadione,,https://go.drugbank.com/drugs/DB00170
DB00171,ATP,,https://go.drugbank.com/drugs/DB00171
DB00172,Proline,,https://go.drugbank.com/drugs/DB00172
DB00173,Adenine,,https://go.drugbank.com/drugs/DB00173
DB00174,Asparagine,,https://go.drugbank.com/drugs/DB00174
DB00175,Pravastatin,http://www.wikidata.org/entity/Q1240093,https://go.drugbank.com/drugs/DB00175
DB00176,Fluvoxamine,http://www.wikidata.org/entity/Q409236,https://go.drugbank.com/drugs/DB00176
DB00177,Valsartan,http://www.wikidata.org/entity/Q155472,https://go.drugbank.com/drugs/DB00177
DB00178,Ramipril,http://www.wikidata.org/entity/Q412666,https://go.drugbank.com/drugs/DB00178
DB00179,Masoprocol,,https://go.drugbank.com/drugs/DB00179
DB00180,Flunisolide,http://www.wikidata.org/entity/Q3746835,https://go.drugbank.com/drugs/DB00180
DB00181,Baclofen,,https://go.drugbank.com/drugs/DB00181
DB00182,Amphetamine,,https://go.drugbank.com/drugs/DB00182
DB00183,Pentagastrin,,https://go.drugbank.com/drugs/DB00183
DB00184,Nicotine,http://www.wikidata.org/entity/Q28086552,https://go.drugbank.com/drugs/DB00184
DB00185,Cevimeline,,https://go.drugbank.com/drugs/DB00185
DB00186,Lorazepam,http://www.wikidata.org/entity/Q408265,https://go.drugbank.com/drugs/DB00186
DB00187,Esmolol,http://www.wikidata.org/entity/Q418139,https://go.drugbank.com/drugs/DB00187
DB00188,Bortezomib,http://www.wikidata.org/entity/Q419319,https://go.drugbank.com/drugs/DB00188
DB00189,Ethchlorvynol,,https://go.drugbank.com/drugs/DB00189
DB00190,Carbidopa,,https://go.drugbank.com/drugs/DB00190
DB00191,Phentermine,http://www.wikidata.org/entity/Q418157,https://go.drugbank.com/drugs/DB00191
DB00192,Indecainide,,https://go.drugbank.com/drugs/DB00192
DB00193,Tramadol,http://www.wikidata.org/entity/Q407592,https://go.drugbank.com/drugs/DB00193
DB00194,Vidarabine,,https://go.drugbank.com/drugs/DB00194
DB00195,Betaxolol,http://www.wikidata.org/entity/Q794162,https://go.drugbank.com/drugs/DB00195
DB00196,Fluconazole,http://www.wikidata.org/entity/Q411478,https://go.drugbank.com/drugs/DB00196
DB00197,Troglitazone,,https://go.drugbank.com/drugs/DB00197
DB00198,Oseltamivir,,https://go.drugbank.com/drugs/DB00198
DB00199,Erythromycin,http://www.wikidata.org/entity/Q213511,https://go.drugbank.com/drugs/DB00199
DB00200,Hydroxocobalamin,http://www.wikidata.org/entity/Q73972,https://go.drugbank.com/drugs/DB00200
DB00201,Caffeine,,https://go.drugbank.com/drugs/DB00201
DB00202,Succinylcholine,,https://go.drugbank.com/drugs/DB00202
DB00203,Sildenafil,http://www.wikidata.org/entity/Q191521,https://go.drugbank.com/drugs/DB00203
DB00204,Dofetilide,http://www.wikidata.org/entity/Q3712521,https://go.drugbank.com/drugs/DB00204
DB00205,Pyrimethamine,http://www.wikidata.org/entity/Q421072,https://go.drugbank.com/drugs/DB00205
DB00206,Reserpine,,https://go.drugbank.com/drugs/DB00206
DB00207,Azithromycin,,https://go.drugbank.com/drugs/DB00207
DB00208,Ticlopidine,,https://go.drugbank.com/drugs/DB00208
DB00209,Trospium,,https://go.drugbank.com/drugs/DB00209
DB00210,Adapalene,http://www.wikidata.org/entity/Q352348,https://go.drugbank.com/drugs/DB00210
DB00211,Midodrine,http://www.wikidata.org/entity/Q415051,https://go.drugbank.com/drugs/DB00211
DB00212,Remikiren,,https://go.drugbank.com/drugs/DB00212
DB00213,Pantoprazole,http://www.wikidata.org/entity/Q286846,https://go.drugbank.com/drugs/DB00213
DB00214,Torasemide,http://www.wikidata.org/entity/Q419948,https://go.drugbank.com/drugs/DB00214
DB00215,Citalopram,,https://go.drugbank.com/drugs/DB00215
DB00216,Eletriptan,http://www.wikidata.org/entity/Q415032,https://go.drugbank.com/drugs/DB00216
DB00217,Bethanidine,,https://go.drugbank.com/drugs/DB00217
DB00218,Moxifloxacin,http://www.wikidata.org/entity/Q424940,https://go.drugbank.com/drugs/DB00218
DB00219,Oxyphenonium,,https://go.drugbank.com/drugs/DB00219
DB00220,Nelfinavir,http://www.wikidata.org/entity/Q423366,https://go.drugbank.com/drugs/DB00220
DB00221,Isoetharine,,https://go.drugbank.com/drugs/DB00221
DB00222,Glimepiride,http://www.wikidata.org/entity/Q425027,https://go.drugbank.com/drugs/DB00222
DB00223,Diflorasone,http://www.wikidata.org/entity/Q5275451,https://go.drugbank.com/drugs/DB00223
DB00224,Indinavir,http://www.wikidata.org/entity/Q425490,https://go.drugbank.com/drugs/DB00224
DB00225,Gadodiamide,,https://go.drugbank.com/drugs/DB00225
DB00226,Guanadrel,,https://go.drugbank.com/drugs/DB00226
DB00227,Lovastatin,http://www.wikidata.org/entity/Q417740,https://go.drugbank.com/drugs/DB00227
DB00228,Enflurane,,https://go.drugbank.com/drugs/DB00228
DB00229,Cefotiam,,https://go.drugbank.com/drugs/DB00229
DB00230,Pregabalin,http://www.wikidata.org/entity/Q412174,https://go.drugbank.com/drugs/DB00230
DB00231,Temazepam,http://www.wikidata.org/entity/Q414796,https://go.drugbank.com/drugs/DB00231
DB00232,Methyclothiazide,,https://go.drugbank.com/drugs/DB00232
DB00233,"Aminosalicylic acid",http://www.wikidata.org/entity/Q229924,https://go.drugbank.com/drugs/DB00233
DB00234,Reboxetine,,https://go.drugbank.com/drugs/DB00234
DB00235,Milrinone,,https://go.drugbank.com/drugs/DB00235
DB00236,Pipobroman,,https://go.drugbank.com/drugs/DB00236
DB00237,Butabarbital,http://www.wikidata.org/entity/Q410608,https://go.drugbank.com/drugs/DB00237
DB00238,Nevirapine,http://www.wikidata.org/entity/Q263713,https://go.drugbank.com/drugs/DB00238
DB00239,Oxiconazole,http://www.wikidata.org/entity/Q3359058,https://go.drugbank.com/drugs/DB00239
DB00240,Alclometasone,http://www.wikidata.org/entity/Q4713192,https://go.drugbank.com/drugs/DB00240
DB00241,Butalbital,,https://go.drugbank.com/drugs/DB00241
DB00242,Cladribine,http://www.wikidata.org/entity/Q414030,https://go.drugbank.com/drugs/DB00242
DB00243,Ranolazine,,https://go.drugbank.com/drugs/DB00243
DB00244,Mesalazine,http://www.wikidata.org/entity/Q412479,https://go.drugbank.com/drugs/DB00244
DB00245,Benzatropine,,https://go.drugbank.com/drugs/DB00245
DB00246,Ziprasidone,http://www.wikidata.org/entity/Q205517,https://go.drugbank.com/drugs/DB00246
DB00247,Methysergide,,https://go.drugbank.com/drugs/DB00247
DB00248,Cabergoline,,https://go.drugbank.com/drugs/DB00248
DB00249,Idoxuridine,,https://go.drugbank.com/drugs/DB00249
DB00250,Dapsone,http://www.wikidata.org/entity/Q422226,https://go.drugbank.com/drugs/DB00250
DB00251,Terconazole,,https://go.drugbank.com/drugs/DB00251
DB00252,Phenytoin,http://www.wikidata.org/entity/Q410400,https://go.drugbank.com/drugs/DB00252
DB00253,Medrysone,,https://go.drugbank.com/drugs/DB00253
DB00254,Doxycycline,,https://go.drugbank.com/drugs/DB00254
DB00255,Diethylstilbestrol,,https://go.drugbank.com/drugs/DB00255
DB00256,Lymecycline,,https://go.drugbank.com/drugs/DB00256
DB00257,Clotrimazole,,https://go.drugbank.com/drugs/DB00257
DB00258,"Calcium acetate",http://www.wikidata.org/entity/Q409251,https://go.drugbank.com/drugs/DB00258
DB00259,Sulfanilamide,http://www.wikidata.org/entity/Q423423,https://go.drugbank.com/drugs/DB00259
DB00260,Cycloserine,http://www.wikidata.org/entity/Q418508,https://go.drugbank.com/drugs/DB00260
DB00261,Anagrelide,http://www.wikidata.org/entity/Q408163,https://go.drugbank.com/drugs/DB00261
DB00262,Carmustine,,https://go.drugbank.com/drugs/DB00262
DB00263,Sulfisoxazole,,https://go.drugbank.com/drugs/DB00263
DB00264,Metoprolol,http://www.wikidata.org/entity/Q409468,https://go.drugbank.com/drugs/DB00264
DB00265,Crotamiton,,https://go.drugbank.com/drugs/DB00265
DB00266,Dicoumarol,,https://go.drugbank.com/drugs/DB00266
DB00267,Cefmenoxime,,https://go.drugbank.com/drugs/DB00267
DB00268,Ropinirole,http://www.wikidata.org/entity/Q420590,https://go.drugbank.com/drugs/DB00268
DB00269,Chlorotrianisene,,https://go.drugbank.com/drugs/DB00269
DB00270,Isradipine,,https://go.drugbank.com/drugs/DB00270
DB00271,Diatrizoate,,https://go.drugbank.com/drugs/DB00271
DB00272,Betazole,,https://go.drugbank.com/drugs/DB00272
DB00273,Topiramate,http://www.wikidata.org/entity/Q221174,https://go.drugbank.com/drugs/DB00273
DB00274,Cefmetazole,,https://go.drugbank.com/drugs/DB00274
DB00275,Olmesartan,http://www.wikidata.org/entity/Q421156,https://go.drugbank.com/drugs/DB00275
DB00276,Amsacrine,,https://go.drugbank.com/drugs/DB00276
DB00277,Theophylline,,https://go.drugbank.com/drugs/DB00277
DB00278,Argatroban,,https://go.drugbank.com/drugs/DB00278
DB00279,Liothyronine,http://www.wikidata.org/entity/Q327362,https://go.drugbank.com/drugs/DB00279
DB00280,Disopyramide,http://www.wikidata.org/entity/Q425120,https://go.drugbank.com/drugs/DB00280
DB00281,Lidocaine,http://www.wikidata.org/entity/Q216935,https://go.drugbank.com/drugs/DB00281
DB00282,"Pamidronic acid",,https://go.drugbank.com/drugs/DB00282
DB00283,Clemastine,,https://go.drugbank.com/drugs/DB00283
DB00284,Acarbose,http://www.wikidata.org/entity/Q338005,https://go.drugbank.com/drugs/DB00284
DB00285,Venlafaxine,http://www.wikidata.org/entity/Q898407,https://go.drugbank.com/drugs/DB00285
DB00286,"Conjugated estrogens",,https://go.drugbank.com/drugs/DB00286
DB00287,Travoprost,http://www.wikidata.org/entity/Q2193376,https://go.drugbank.com/drugs/DB00287
DB00288,Amcinonide,,https://go.drugbank.com/drugs/DB00288
DB00289,Atomoxetine,http://www.wikidata.org/entity/Q417240,https://go.drugbank.com/drugs/DB00289
DB00290,Bleomycin,,https://go.drugbank.com/drugs/DB00290
DB00291,Chlorambucil,http://www.wikidata.org/entity/Q415939,https://go.drugbank.com/drugs/DB00291
DB00292,Etomidate,http://www.wikidata.org/entity/Q418445,https://go.drugbank.com/drugs/DB00292
DB00293,Raltitrexed,,https://go.drugbank.com/drugs/DB00293
DB00294,Etonogestrel,http://www.wikidata.org/entity/Q3733839,https://go.drugbank.com/drugs/DB00294
DB00295,Morphine,http://www.wikidata.org/entity/Q81225,https://go.drugbank.com/drugs/DB00295
DB00296,Ropivacaine,,https://go.drugbank.com/drugs/DB00296
DB00297,Bupivacaine,,https://go.drugbank.com/drugs/DB00297
DB00298,Dapiprazole,,https://go.drugbank.com/drugs/DB00298
DB00299,Penciclovir,http://www.wikidata.org/entity/Q420364,https://go.drugbank.com/drugs/DB00299
DB00300,"Tenofovir disoproxil",,https://go.drugbank.com/drugs/DB00300
DB00301,Flucloxacillin,,https://go.drugbank.com/drugs/DB00301
DB00302,"Tranexamic acid",http://www.wikidata.org/entity/Q418666,https://go.drugbank.com/drugs/DB00302
DB00303,Ertapenem,http://www.wikidata.org/entity/Q553220,https://go.drugbank.com/drugs/DB00303
DB00304,Desogestrel,,https://go.drugbank.com/drugs/DB00304
DB00305,Mitomycin,http://www.wikidata.org/entity/Q19856779,https://go.drugbank.com/drugs/DB00305
DB00306,Talbutal,,https://go.drugbank.com/drugs/DB00306
DB00307,Bexarotene,http://www.wikidata.org/entity/Q418192,https://go.drugbank.com/drugs/DB00307
DB00308,Ibutilide,http://www.wikidata.org/entity/Q3791612,https://go.drugbank.com/drugs/DB00308
DB00309,Vindesine,,https://go.drugbank.com/drugs/DB00309
DB00310,Chlorthalidone,http://www.wikidata.org/entity/Q425289,https://go.drugbank.com/drugs/DB00310
DB00311,Ethoxzolamide,,https://go.drugbank.com/drugs/DB00311
DB00312,Pentobarbital,http://www.wikidata.org/entity/Q409632,https://go.drugbank.com/drugs/DB00312
DB00313,"Valproic acid",,https://go.drugbank.com/drugs/DB00313
DB00314,Capreomycin,http://www.wikidata.org/entity/Q415909,https://go.drugbank.com/drugs/DB00314
DB00315,Zolmitriptan,http://www.wikidata.org/entity/Q218820,https://go.drugbank.com/drugs/DB00315
DB00316,Acetaminophen,http://www.wikidata.org/entity/Q57055,https://go.drugbank.com/drugs/DB00316
DB00317,Gefitinib,http://www.wikidata.org/entity/Q417824,https://go.drugbank.com/drugs/DB00317
DB00318,Codeine,,https://go.drugbank.com/drugs/DB00318
DB00319,Piperacillin,,https://go.drugbank.com/drugs/DB00319
DB00320,Dihydroergotamine,http://www.wikidata.org/entity/Q421336,https://go.drugbank.com/drugs/DB00320
DB00321,Amitriptyline,http://www.wikidata.org/entity/Q58397,https://go.drugbank.com/drugs/DB00321
DB00322,Floxuridine,,https://go.drugbank.com/drugs/DB00322
DB00323,Tolcapone,http://www.wikidata.org/entity/Q413840,https://go.drugbank.com/drugs/DB00323
DB00324,Fluorometholone,http://www.wikidata.org/entity/Q607349,https://go.drugbank.com/drugs/DB00324
DB00325,Nitroprusside,,https://go.drugbank.com/drugs/DB00325
DB00326,"Calcium glucoheptonate",,https://go.drugbank.com/drugs/DB00326
DB00327,Hydromorphone,http://www.wikidata.org/entity/Q303646,https://go.drugbank.com/drugs/DB00327
DB00328,Indomethacin,http://www.wikidata.org/entity/Q409231,https://go.drugbank.com/drugs/DB00328
DB00330,Ethambutol,http://www.wikidata.org/entity/Q412318,https://go.drugbank.com/drugs/DB00330
DB00331,Metformin,http://www.wikidata.org/entity/Q19484,https://go.drugbank.com/drugs/DB00331
DB00332,Ipratropium,,https://go.drugbank.com/drugs/DB00332
DB00333,Methadone,,https://go.drugbank.com/drugs/DB00333
DB00334,Olanzapine,http://www.wikidata.org/entity/Q201872,https://go.drugbank.com/drugs/DB00334
DB00335,Atenolol,http://www.wikidata.org/entity/Q411325,https://go.drugbank.com/drugs/DB00335
DB00336,Nitrofural,,https://go.drugbank.com/drugs/DB00336
DB00337,Pimecrolimus,http://www.wikidata.org/entity/Q417489,https://go.drugbank.com/drugs/DB00337
DB00338,Omeprazole,http://www.wikidata.org/entity/Q422210,https://go.drugbank.com/drugs/DB00338
DB00339,Pyrazinamide,,https://go.drugbank.com/drugs/DB00339
DB00340,Metixene,,https://go.drugbank.com/drugs/DB00340
DB00341,Cetirizine,http://www.wikidata.org/entity/Q423075,https://go.drugbank.com/drugs/DB00341
DB00342,Terfenadine,,https://go.drugbank.com/drugs/DB00342
DB00343,Diltiazem,http://www.wikidata.org/entity/Q422229,https://go.drugbank.com/drugs/DB00343
DB00344,Protriptyline,,https://go.drugbank.com/drugs/DB00344
DB00345,"Aminohippuric acid",,https://go.drugbank.com/drugs/DB00345
DB00346,Alfuzosin,http://www.wikidata.org/entity/Q2736873,https://go.drugbank.com/drugs/DB00346
